open,low,high,close,volume,weighted_sentiment,returns,volatility,rsi,ma_7,ma_30,regime
16627.36,16326.16,16649.99,16600.1,26532.28003447,0.3543328916204387,-0.0016502741836736945,0.01586060756006209,49.054641379630894,16721.44714285714,16954.928333333333,0
16599.98,16462.49,16634.42,16530.35,15414.5294044,-0.2122048413753509,-0.004201781916976399,0.015616606019899113,42.32564374413527,16677.62285714286,16939.93733333333,0
16531.83,16490.0,16621.0,16611.58,10668.73697739,-0.2208991754800081,0.004913991536779516,0.014848205620747354,46.14648014655158,16646.56,16923.833,0
16611.9,16542.52,16789.99,16666.95,13560.46017964,0.6731049631323133,0.003333216948658624,0.014851276766347508,57.915235460923675,16610.70142857143,16916.447,0
16666.86,16600.0,16772.3,16669.47,17612.35527749,0.1848082182736232,0.00015119742964375682,0.014852173707474782,38.35673755970123,16606.52142857143,16901.799333333336,0
16668.95,16645.87,16988.0,16844.42,25922.70680625,0.4457485550834286,0.010495234701523026,0.01503180011109781,50.82399837599411,16650.058571428573,16897.745,0
16844.4,16750.07,16872.13,16825.69,14918.22913349,0.3210325585257622,-0.001111940927618682,0.014937829671140808,50.46636491909623,16678.365714285716,16888.966333333334,0
16825.53,16670.82,17027.11,16948.06,24235.38704157,0.1319836779282643,0.007272807237028722,0.01327224818812298,57.26718219636075,16728.074285714287,16892.568333333333,0
16948.0,16903.58,16977.76,16942.37,5680.11799379,-0.0758730795648363,-0.0003357316412617717,0.013253694690449883,54.69333880332122,16786.934285714284,16883.113666666664,0
16942.37,16910.41,17167.52,17125.18,9195.45985397,-0.2026939941777123,0.01079010787746948,0.012536746720684437,61.42610225466436,16860.305714285714,16882.933333333334,0
17125.17,17102.97,17396.25,17177.98,33252.15435855,0.2698205264715047,0.0030831792716923268,0.008939652596873859,60.319564389128736,16933.31,16884.596,0
17177.94,17145.1,17494.37,17443.5,24901.57485784,0.0824073989601696,0.015456997854229604,0.009270083317386397,78.5105617358148,17043.885714285712,16896.539,0
17443.5,17315.08,17998.0,17944.27,27251.01602186,0.1184451967477798,0.028708114770545023,0.010736435111167463,92.6199911398625,17201.007142857143,16920.959333333332,0
17944.15,17904.83,19115.85,18847.75,61938.44269045,0.4038729168750621,0.05034922011316145,0.013615923592779404,95.06338722837654,17489.87285714286,16956.778333333332,0
18847.77,18714.8,20000.0,19934.88,55049.6223488,0.5567530112607139,0.05767956387367201,0.016723028149576453,97.32708508367578,17916.56142857143,17027.775333333335,0
19934.07,19893.25,21321.98,20957.02,58239.87328811,-0.0537178973997792,0.05127394797460538,0.018805519536917302,99.45436386020806,18490.082857142857,17147.744,0
20956.2,20560.16,21057.3,20879.7,25709.30241812,0.6634322206179301,-0.003689455848207457,0.018885724595496128,97.7247517667054,19026.442857142858,17289.31266666667,0
