hour,close,high,low,open,volume,returns,volatility,rsi,ma_7,ma_30,regime,mean_finbert,mean_bullish,mean_bearish,mean_strength,post_count
2024-07-06 04:00:00,56087.390625,56407.0625,56063.5859375,56407.0625,0,-0.005558009621693838,0.006551724601328461,46.74814385722143,56436.44810267857,55876.77265625,1,0.014421013385,0.0192566275,0.0048356141999999,0.014421013385,2
2024-07-06 16:00:00,57833.93359375,57986.95703125,57217.34375,57314.1015625,0,0.008942321813051546,0.003246176756265974,71.96105652551718,57068.200892857145,56495.92721354167,0,-0.684718,0.016512254,0.7012303,-0.684718,1
2024-07-07 00:00:00,57962.42578125,58244.25,57962.42578125,58239.4296875,0,-0.005850644518925918,0.0035746489588658887,64.05885141816779,57993.18470982143,57018.955859375,0,-0.0497847,0.016107935,0.06589264,-0.0497847,1
2024-07-07 04:00:00,57616.19921875,57965.546875,57592.87890625,57947.43359375,328873984,-0.005794128988931946,0.0036892260301013475,52.91453215600482,58057.75669642857,57218.46796875,0,0.00024676928,0.0048400485,0.004593279,0.00024676928,1
2024-07-07 14:00:00,56763.92578125,56920.875,56643.87890625,56874.29296875,174125056,-0.0016083847619112746,0.004240122860322127,37.43097630531718,57321.18247767857,57534.951432291666,1,0.28672084,0.2943151,0.0075942473,0.28672084,1
2024-07-07 20:00:00,57286.76171875,57286.76171875,57049.37890625,57139.7734375,0,0.002568527039434887,0.003750615874503114,49.732014632021986,57066.12165178572,57590.04505208333,0,0.067420304,0.07833659,0.010916287,0.067420304,1
2024-07-08 04:00:00,55520.46875,55529.328125,55006.11328125,55169.28125,281008128,0.006284552614136185,0.005389905067264107,35.940964341837486,55516.365513392855,57003.610677083336,1,0.00021589873,0.004850389,0.0046344902,0.00021589873,1
2024-07-08 08:00:00,57704.4296875,57712.11328125,55775.84375,55859.4375,2906441728,0.03298397372649431,0.008815182645228655,63.35976671352033,55831.166294642855,56736.40533854167,1,0.00033641513,0.005189467,0.004853052,0.00033641513,1
2024-07-08 11:00:00,57087.4765625,57269.56640625,56816.69140625,56816.69140625,1133240320,0.005788392204503667,0.009258143280493654,55.200815272041204,56574.75502232143,56672.531640625,1,-0.8009264,0.029752247,0.83067864,-0.8009264,1
2024-07-08 20:00:00,56242.625,56561.5703125,56240.53515625,56497.82421875,348434432,-0.004252606382070145,0.010023959725552973,47.30627406916576,56157.98772321428,56378.67005208333,1,0.62573206,0.727862,0.10212992,0.62573206,1
2024-07-09 04:00:00,57292.40234375,57320.24609375,57110.78515625,57159.796875,0,0.002470351408735194,0.009237067518436233,58.95595379090634,56886.666294642855,56351.500651041664,1,0.0002306751,0.0048370822,0.004606407,0.0002306751,1
2024-07-09 09:00:00,57621.01171875,57664.765625,57517.3828125,57603.84765625,0,6.10844227399987e-05,0.00677873748359674,60.430233913051396,57362.39787946428,56698.827734375,1,0.6507447,0.80471104,0.15396638,0.6507447,1
2024-07-09 18:00:00,57899.96875,58178.421875,57475.87890625,57532.890625,508831744,0.00645862907147654,0.004683547203672427,62.70500252714749,57498.56696428572,56986.259765625,1,-0.69714534,0.06368982,0.7608352,-0.69714534,1
2024-07-09 19:00:00,57797.8671875,57907.17578125,57721.9375,57907.17578125,0,-0.0017634130847437035,0.0046907236286333675,60.476749754014534,57561.157924107145,57007.112630208336,1,0.031698596,0.038282756,0.0065841586,0.031698596,1
2024-07-10 04:00:00,59288.97265625,59288.97265625,58173.05859375,58173.05859375,1800898560,0.01975120935232466,0.005765334670971991,72.8355945763215,58072.564174107145,57534.00494791667,1,0.147051077,0.268370105,0.1213190179999999,0.147051077,2
2024-07-11 04:00:00,57743.2734375,57750.4921875,57501.765625,57556.4296875,0,0.003128219117844555,0.00447873535611375,48.644590893692126,57793.474888392855,58039.311197916664,1,0.00024775974,0.004818939,0.0045711794,0.00024775974,1
2024-07-11 11:00:00,58782.01953125,58865.9765625,58413.09375,58443.37109375,552099840,0.006005267419547433,0.0044589989390009955,64.35987422114053,58268.25055803572,58050.352864583336,1,0.8781174,0.9187914,0.04067402,0.8781174,1
2024-07-11 19:00:00,57410.5234375,57840.2890625,57400.52734375,57831.38671875,17428480,-0.007233229326644053,0.00543505675528995,41.73230146386719,57777.01674107143,57879.274609375,1,0.9598099,0.9759631,0.01615321,0.9598099,1
