Datetime,close,high,low,open,volume,returns,volatility,rsi,ma_7,ma_30,regime
2024-07-05 19:00:00,56523.53515625,56719.109375,56368.703125,56505.265625,9674752,-0.000825370677955739,0.01043020935165352,54.16401379920241,56313.685267857145,56380.33515625,1
2024-07-05 20:00:00,56355.9765625,56526.14453125,56339.0703125,56487.83203125,77578240,-0.0029644040006842065,0.010429870728911425,52.097587379836455,56390.65290178572,56346.23489583333,1
2024-07-05 21:00:00,56562.69921875,56761.27734375,56353.0703125,56353.0703125,91033600,0.003668158531877186,0.010452514719188436,54.40857857840765,56508.75837053572,56294.979166666664,1
2024-07-05 22:00:00,56608.35546875,56741.33203125,56456.83984375,56545.97265625,0,0.0008071794774755503,0.010378130263949575,54.925787368775715,56512.3203125,56240.19427083333,1
2024-07-05 23:00:00,56662.375,56838.9296875,56619.8203125,56619.8203125,0,0.0009542678073348743,0.009748690922176083,55.56805108085822,56543.20033482143,56188.38098958333,1
2024-07-06 00:00:00,56609.33984375,56979.01953125,56392.97265625,56659.07421875,0,-0.000935985409189044,0.009646856890845028,54.743316760858264,56556.072544642855,56137.98515625,1
2024-07-06 01:00:00,56263.96875,56609.40625,56257.37890625,56609.40625,0,-0.006100956038407657,0.009703754251359229,49.58243865028556,56512.32142857143,56071.076171875,1
2024-07-06 02:00:00,56422.83984375,56472.47265625,56218.74609375,56238.16796875,0,0.0028236737876761175,0.008725686706861985,51.83198441537594,56497.93638392857,56008.61015625,1
2024-07-06 03:00:00,56400.8671875,56479.921875,56285.59765625,56435.80078125,0,-0.0003894284001096926,0.008181049502611074,51.48980286791377,56504.349330357145,55940.696875,1
2024-07-06 04:00:00,56087.390625,56407.0625,56063.5859375,56407.0625,0,-0.005558009621693838,0.006551724601328461,46.74814385722143,56436.44810267857,55876.77265625,1
2024-07-06 05:00:00,56373.7109375,56484.421875,56038.9609375,56060.203125,0,0.005104896293256722,0.006013449207567975,51.171148230727404,56402.927455357145,55856.63958333333,1
2024-07-06 06:00:00,56442.57421875,56572.7890625,56369.703125,56369.703125,0,0.0012215495503984375,0.005661036755472325,52.199485153199646,56371.52734375,55826.594401041664,1
2024-07-06 07:00:00,56589.13671875,56661.6171875,56429.23828125,56429.23828125,0,0.0025966657621245837,0.005663662143714024,54.40057668643633,56368.64118303572,55806.93997395833,1
2024-07-06 08:00:00,56561.66796875,56655.25390625,56526.2890625,56590.4375,0,-0.0004854067687323216,0.005546623373696479,53.899629405349934,56411.169642857145,55825.845052083336,1
2024-07-06 09:00:00,56723.9921875,56723.9921875,56463.4140625,56547.7109375,0,0.0028698626575101027,0.005457069859493619,56.45167863246432,56454.19140625,55876.20260416667,1
2024-07-06 10:00:00,56793.5,56845.01953125,56668.4609375,56756.51171875,0,0.0012253688398771168,0.005276606984511137,57.53571397132266,56510.28180803572,55971.55130208333,1
2024-07-06 11:00:00,56747.2265625,56780.67578125,56693.2421875,56780.67578125,0,-0.0008147664345391492,0.005032931450438412,56.526902448562296,56604.54408482143,56039.373697916664,1
2024-07-06 12:00:00,56740.375,56775.87890625,56540.328125,56734.4296875,0,-0.00012073827947267635,0.004781718517511696,56.369301898873395,56656.92466517857,56122.04765625,1
2024-07-06 13:00:00,56966.72265625,57186.26171875,56682.3828125,56802.9453125,0,0.003989181535194231,0.004099195190579036,60.30654725560255,56731.803013392855,56208.49036458333,0
2024-07-06 14:00:00,57074.30078125,57085.90234375,56770.6640625,56983.9140625,0,0.001888438021073302,0.004073901306666002,62.05898236249255,56801.11216517857,56306.087630208334,0
2024-07-06 15:00:00,57321.34765625,57391.26953125,56978.37109375,57069.41015625,0,0.004328513387257482,0.0028439886363446406,65.7937889453953,56909.63783482143,56399.92578125,0
2024-07-06 16:00:00,57833.93359375,57986.95703125,57217.34375,57314.1015625,0,0.008942321813051546,0.003246176756265974,71.96105652551718,57068.200892857145,56495.92721354167,0
2024-07-06 17:00:00,57950.546875,57979.00390625,57807.1640625,57853.61328125,0,0.002016347047550715,0.003252195940045585,73.14721617931401,57233.49330357143,56579.256640625,0
2024-07-06 18:00:00,57810.8046875,58009.84375,57770.79296875,57964.4296875,0,-0.00241140412016172,0.00332809056237099,69.36053995261364,57385.43303571428,56669.981640625,0
2024-07-06 19:00:00,57872.51171875,57921.0,57749.49609375,57810.89453125,0,0.0010673961655363051,0.0033075530769568736,70.09669841752466,57547.16685267857,56738.491927083334,0
2024-07-06 20:00:00,58002.8828125,58178.125,57871.5078125,57871.984375,0,0.002252729143389809,0.003206360167415904,71.64667635899184,57695.189732142855,56814.055989583336,0
2024-07-06 21:00:00,57897.7265625,58215.09375,57846.90234375,57989.00390625,0,-0.001812948682911597,0.0032185286121129623,68.5598329970834,57812.821986607145,56857.86614583333,0
